ticker,fiscal_year,orders_units,orders_value_thousands,orders_metric_label,orders_units_available,deliveries_units,delivery_metric_label,backlog_units,backlog_value_thousands,cancellation_rate_pct,active_communities,average_community_count,source_note
DHI,2012,21048,4803300,net_sales_orders,TRUE,18890,homes_closed,,,,,,DHI 2012 10-K Net Sales Orders and Homes Closed tables.
DHI,2013,25120,6567000,net_sales_orders,TRUE,24155,homes_closed,,,,,,DHI 2013 10-K Net Sales Orders and Homes Closed tables.
DHI,2014,29709,8308600,net_sales_orders,TRUE,28670,homes_closed,,,,,,DHI 2014 10-K Net Sales Orders and Homes Closed tables.
DHI,2015,37380,10738700,net_sales_orders,TRUE,36648,homes_closed,,,,,,DHI 2015 10-K Net Sales Orders and Homes Closed tables.
DHI,2016,40814,12000200,net_sales_orders,TRUE,40309,homes_closed,,,,,,DHI 2016 10-K Net Sales Orders and Home Closings tables.
DHI,2017,46605,13941200,net_sales_orders,TRUE,45751,homes_closed,,,,,,DHI 2017 10-K Net Sales Orders and Home Closings tables.
DHI,2018,52740,15760700,net_sales_orders,TRUE,51857,homes_closed,,,,,,DHI 2018 10-K Net Sales Orders and Home Closings tables.
DHI,2019,56565,16843400,net_sales_orders,TRUE,56975,homes_closed,,,,,,DHI 2019 10-K Net Sales Orders and Homes Closed tables.
DHI,2020,78458,23606300,net_sales_orders,TRUE,65388,homes_closed,,,,,,DHI 2020 10-K Net Sales Orders and Homes Closed tables.
DHI,2021,81378,27748200,net_sales_orders,TRUE,81965,homes_closed,,,,,,DHI 2021 10-K Net Sales Orders and Home Closings tables.
DHI,2022,76137,30373600,net_sales_orders,TRUE,82744,homes_closed,,,,,,DHI 2022 10-K Net Sales Orders and Homes Closed tables.
DHI,2023,78342,29527900,net_sales_orders,TRUE,82917,homes_closed,,,,,,DHI 2023 10-K Net Sales Orders and Homes Closed tables.
LEN,2012,15684,,new_orders_including_unconsolidated_entities,TRUE,13802,home_deliveries_including_unconsolidated_entities,4053,1160385,,,,LEN 2012 10-K Homebuilding Data table.
LEN,2013,19043,,new_orders_including_unconsolidated_entities,TRUE,18290,home_deliveries_including_unconsolidated_entities,4806,1619601,,,,LEN 2013 10-K Homebuilding Data table.
LEN,2014,22029,,new_orders_including_unconsolidated_entities,TRUE,21003,home_deliveries_including_unconsolidated_entities,5832,1974328,,,,LEN 2014 10-K Homebuilding Data table.
LEN,2015,25106,,new_orders_including_unconsolidated_entities,TRUE,24292,home_deliveries_including_unconsolidated_entities,6646,2477751,,,,LEN 2015 10-K Homebuilding Data table.
LEN,2016,27372,,new_orders_including_unconsolidated_entities,TRUE,26563,home_deliveries_including_unconsolidated_entities,7623,2891538,,,,LEN 2016 10-K Homebuilding Data table.
LEN,2017,30348,,new_orders_including_unconsolidated_entities,TRUE,29394,home_deliveries_including_unconsolidated_entities,8935,3550366,,,,LEN 2017 10-K Homebuilding Data table.
LEN,2018,45826,,new_orders_including_unconsolidated_entities,TRUE,45627,home_deliveries_including_unconsolidated_entities,15616,6570123,,,,LEN 2018 10-K Homebuilding Data table; CalAtlantic acquisition affects comparability.
LEN,2019,51439,,new_orders_including_unconsolidated_entities,TRUE,51491,home_deliveries_including_unconsolidated_entities,15577,6300542,,,,LEN 2019 10-K Homebuilding Data table.
LEN,2020,56169,22388650,new_orders_including_unconsolidated_entities,TRUE,52925,home_deliveries_including_unconsolidated_entities,18821,7812971,15,1177,,LEN 2020 10-K Homebuilding Data and new-order/backlog table; cancellation rate stated in Backlog section.
LEN,2021,64543,28853203,new_orders_including_unconsolidated_entities,TRUE,59825,home_deliveries_including_unconsolidated_entities,23771,11362266,10,1263,,LEN 2021 10-K New Orders and Backlog tables; cancellation rate stated in Backlog section.
