ticker,fiscal_year,unit_type,disclosure_basis,source_table_index,owned_physical_count,nonowned_controlled_physical_count,optioned_physical_count,jv_physical_count,optioned_approved_for_purchase,optioned_pending_approval,total_physical_count,approximate_flag,manual_review_flag,manual_review_reason,source_note
DHI,2006,lots,land_lot_position_table,60,190000,133000,133000,,,,323000,FALSE,FALSE,,DHI table labels nonowned count as controlled under lot option and similar contracts.
DHI,2007,lots,land_lot_position_table,71,167000,63000,63000,,,,230000,FALSE,FALSE,,DHI table labels nonowned count as controlled under lot option and similar contracts.
DHI,2008,lots,land_lot_position_table,78,99000,26000,26000,,,,125000,FALSE,FALSE,,DHI table labels nonowned count as controlled under lot option and similar contracts.
DHI,2009,lots,land_lot_position_table,73,89500,26500,26500,,,,116000,FALSE,FALSE,,DHI table labels nonowned count as controlled under lot option and similar contracts.
DHI,2010,lots,land_lot_position_table,51,89700,29700,29700,,,,119400,FALSE,FALSE,,DHI table labels nonowned count as controlled under lot option and similar contracts.
DHI,2011,lots,land_lot_position_table,50,85800,26900,26900,,,,112700,FALSE,FALSE,,DHI table labels nonowned count as controlled under lot option and similar contracts.
DHI,2012,lots,land_lot_position_table,130,94600,58100,58100,,,,152700,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under lot option and similar contracts.
DHI,2013,lots,land_lot_position_table,134,126600,54300,54300,,,,180900,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under land and lot option purchase contracts.
DHI,2014,lots,land_lot_position_table,138,124600,58900,58900,,,,183500,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under land and lot option purchase contracts.
DHI,2015,lots,land_lot_position_table,140,118400,55500,55500,,,,173900,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under land and lot option purchase contracts.
DHI,2016,lots,land_lot_position_table,140,112900,91600,91600,,,,204500,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under land and lot option purchase contracts.
DHI,2017,lots,land_lot_position_table,139,125000,124000,124000,,,,249000,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under land and lot option purchase contracts.
DHI,2018,lots,land_lot_position_table,149,124300,164200,164200,,,,288500,FALSE,FALSE,,DHI table labels nonowned count as lots controlled under land and lot option purchase contracts.
DHI,2019,lots,land_lot_position_table,,121400,185900,185900,,,,307300,FALSE,FALSE,,DHI land-lot position table reports owned lots and lots controlled under land and lot purchase contracts.
DHI,2020,lots,land_lot_position_table,,112600,264300,264300,,,,376900,FALSE,FALSE,,DHI land-lot position table reports owned lots and lots controlled under land and lot purchase contracts.
DHI,2021,lots,land_lot_position_table,,127800,402500,402500,,,,530300,FALSE,FALSE,,DHI land-lot position table reports owned lots and lots controlled under land and lot purchase contracts.
DHI,2022,lots,land_lot_position_table,,131100,442100,442100,,,,573200,FALSE,FALSE,,DHI land-lot position table reports owned lots and lots controlled under land and lot purchase contracts.
DHI,2023,lots,land_lot_position_table,,141100,427300,427300,,,,568400,FALSE,FALSE,,DHI land-lot position table reports owned lots and lots controlled under land and lot purchase contracts.
DHI,2024,lots,land_lot_position_table,,152500,480400,480400,,,,632900,FALSE,FALSE,,DHI benchmark year; table reports 152500 owned lots and 480400 lots controlled through land and lot purchase contracts.
DHI,2025,lots,land_lot_position_table,,147000,444900,444900,,,,591900,FALSE,FALSE,,DHI land-lot position table reports owned lots and lots controlled under land and lot purchase contracts.
