ticker,fiscal_year,unit_type,disclosure_basis,source_table_index,source_row_label,homes_lots_in_production,land_under_development_or_future,owned_lots,optioned_lots,construction_to_perm_lots,total_controlled_lots,unconsolidated_jv_lots,total_including_unconsolidated_jv_lots,manual_review_flag,manual_review_reason,source_note
KBH,2006,lots,total_lots_owned_or_under_option_table,13,Total,51982,22250,74232,56316,,130548,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2007,lots,total_lots_owned_or_under_option_table,8,Total,33093,11972,45065,20643,,65708,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2008,lots,total_lots_owned_or_under_option_table,9,Total,25079,10433,35512,11511,,47023,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2009,lots,total_lots_owned_or_under_option_table,10,Total,17860,10503,28363,9102,,37465,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2010,lots,total_lots_owned_or_under_option_table,14,Total,18930,11297,30227,9313,,39540,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2011,lots,total_lots_owned_or_under_option_table,32,Total,13241,19725,32966,7204,,40170,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2012,lots,total_lots_owned_or_under_option_table,31,Total,13955,18668,32623,12129,,44752,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2013,lots,total_lots_owned_or_under_option_table,29,Total,21339,17016,38355,22740,,61095,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2014,lots,total_lots_owned_or_under_option_table,29,Total,30762,10630,41392,10806,,52198,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2015,lots,total_lots_owned_or_under_option_table,13,Total,28667,9393,38060,9339,,47399,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2016,lots,total_lots_owned_or_under_option_table,16,Total,26647,8935,35582,9243,,44825,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2017,lots,total_lots_owned_or_under_option_table,18,Total,28805,6139,34944,11427,,46371,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2018,lots,total_lots_owned_or_under_option_table,17,Total,35599,3883,39482,14145,,53627,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2019,lots,total_lots_owned_or_under_option_table,17,Total,35130,2909,38039,17659,,55698,,,FALSE,,KBH owned_lots is homes_or_lots_in_production plus land_under_development_or_future.
KBH,2020,lots,total_lots_owned_or_under_option_table,6,Total,6732,33315,40047,26991,,67038,,,FALSE,,KBH owned_lots is homes_under_construction plus land_under_development plus land_under_option in the revised table format.
KBH,2021,lots,total_lots_owned_or_under_option_table,5,Total,9645,38880,48525,38243,,86768,,,FALSE,,KBH owned_lots is homes_under_construction plus land_under_development plus land_under_option in the revised table format.
KBH,2022,lots,total_lots_owned_or_under_option_table,5,Total,9407,38648,48055,20740,,68795,,,FALSE,,KBH owned_lots is homes_under_construction plus land_under_development plus land_under_option in the revised table format.
KBH,2023,lots,total_lots_owned_or_under_option_table,5,Total,7635,33165,40800,15176,,55976,,,FALSE,,KBH owned_lots is homes_under_construction plus land_under_development plus land_under_option in the revised table format.
KBH,2024,lots,total_lots_owned_or_under_option_table,5,Total,6524,32338,38862,37841,,76703,,,FALSE,,KBH owned_lots is homes_under_construction plus land_under_development plus land_under_option in the revised table format.
KBH,2025,lots,total_lots_owned_or_under_option_table,5,Total,4755,32382,37137,27475,,64612,,,FALSE,,KBH owned_lots is homes_under_construction plus land_under_development plus land_under_option in the revised table format.
HOV,2006,homesites,total_home_sites_table,11,Consolidated total and owned-optioned breakdown,,,33904,60714,3432,98050,6747,104797,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2007,homesites,total_home_sites_table,12,Consolidated total and owned-optioned breakdown,,,28680,36104,2139,66923,4326,71249,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2008,homesites,total_home_sites_table,11,Consolidated total and owned-optioned breakdown,,,23439,16464,192,40095,3256,43351,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2009,homesites,total_home_sites_table,68,Consolidated total and owned-optioned breakdown,,,16477,11343,138,27958,2576,30534,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2010,homesites,total_home_sites_table,56,Consolidated total and owned-optioned breakdown,,,17676,14379,145,32200,2072,34272,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2011,homesites,total_home_sites_table,57,Consolidated total and owned-optioned breakdown,,,18277,9913,115,28305,2731,31036,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2012,homesites,total_home_sites_table,59,Consolidated total and owned-optioned breakdown,,,16427,11418,174,28019,1774,29793,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2013,homesites,total_home_sites_table,37,Consolidated total and owned-optioned breakdown,,,16326,15523,248,32097,2613,34710,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2014,homesites,total_home_sites_table,35,Consolidated total and owned-optioned breakdown,,,17720,16971,262,34953,2867,37820,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2015,homesites,total_home_sites_table,60,Consolidated total and owned-optioned breakdown,,,18612,15923,194,34729,3124,37853,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2016,homesites,total_home_sites_table,73,Consolidated total and owned-optioned breakdown,,,13542,13108,147,26797,4631,31428,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2017,homesites,total_home_sites_table,53,Consolidated total and owned-optioned breakdown,,,11422,13907,220,25549,5770,,FALSE,,The SEC HTML prints the current-year marker as October 31 201 7. HOV denominator is consolidated total home sites.
HOV,2018,homesites,total_home_sites_table,21,Consolidated total and owned-optioned breakdown,,,12729,17610,218,30557,4029,,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2019,homesites,total_home_sites_table,22,Consolidated total and owned-optioned breakdown,,,11374,18004,255,29633,4226,,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2020,homesites,total_home_sites_table,26,Consolidated total and owned-optioned breakdown,,,9745,16304,295,26344,4724,,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2021,homesites,total_home_sites_table,24,Consolidated total and owned-optioned breakdown,,,10451,20423,369,31243,4030,,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2022,homesites,total_home_sites_table,44,Consolidated total and owned-optioned breakdown,,,9022,22496,282,31800,3355,,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2023,homesites,total_home_sites_table,40,Consolidated total and owned-optioned breakdown,,,7337,24389,28,31754,5406,,FALSE,,HOV denominator is consolidated total home sites. Unconsolidated JV lots are retained separately.
HOV,2024,homesites,total_home_sites_table,83,Consolidated total and owned-optioned breakdown,,,6632,35259,4,41895,4349,,FALSE,,The table gives 41895 consolidated home sites. Nearby prose states 41891 so this row uses the reconciled table value.
HOV,2025,homesites,total_home_sites_table,83,Consolidated total and owned-optioned breakdown,,,5496,30387,2,35885,5925,,FALSE,,The table gives 35885 consolidated home sites. Nearby prose states 35883 so this row uses the reconciled table value.
