ticker,cik10,sec_company_name,fiscal_year,report_date,filing_date,accession_number,accession_number_no_dashes,primary_document,source_local_path,source_url,total_controlled_lots,total_controlled_lots_source,total_controlled_lots_precision,lpa_lots,lpa_lots_label,lpa_cash_deposits_millions,lpa_letters_of_credit_millions,impairment_reserve_lots,contract_land_deposit_reserve_millions,contract_land_deposits_gross_millions,contract_land_deposits_net_millions,total_risk_of_loss_millions,aggregate_purchase_price_millions,future_lpa_deposit_obligations_millions,specific_performance_lots,specific_performance_obligations_millions,jv_expected_lots,jv_controlled_by_nvr_lots,jv_not_under_contract_lots,jv_investment_millions,jv_funding_commitments_millions,land_under_development_lots,land_under_development_carrying_value_millions,land_under_development_unrelated_contract_lots,land_under_development_funding_commitments_millions,land_under_development_development_credits_millions,raw_land_contract_expected_lots_excluded,raw_land_contract_cash_deposits_millions,raw_land_contract_letters_of_credit_millions,raw_land_contract_refundable_deposits_millions,raw_land_contract_excluded_from_total,component_reconciliation_status,manual_review_flag,manual_review_reason,source_note
NVR,0000906163,NVR Inc,2016,2016-12-31,2017-02-15,0001564590-17-001623,000156459017001623,nvr-10k_20161231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000156459017001623/nvr-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459017001623/nvr-10k_20161231.htm,78000,reported_table,exact_table,73200,lot_purchase_agreements,396.2,2.4,4000,31.306,411.150,379.844,383.728,7300.0,94.6,10,1.505,7400,4200,3200,49.4,6.2,600,46.999,,12.0,7.1,9600,14.9,0.0,1.4,TRUE,components_reconcile_to_reported_total,FALSE,,"2016 component disclosure cleanly separates LPA lots from JV-controlled lots and land under development; raw-land contracts are excluded from total controlled lots."
NVR,0000906163,NVR Inc,2017,2017-12-31,2018-02-14,0000906163-18-000007,000090616318000007,a201710-k.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616318000007/a201710-k.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616318000007/a201710-k.htm,88700,reported_table,exact_table,84300,lot_purchase_agreements,393.9,1.9,4600,29.999,400.428,370.429,373.930,8400.0,137.9,10,1.505,7300,3900,3400,45.5,5.3,500,34.212,,7.9,4.7,10700,6.6,0.1,5.8,TRUE,components_reconcile_to_reported_total,FALSE,,"2017 component values reconcile exactly after rounding; raw-land-contract expected lots are excluded from the total controlled-lot table."
NVR,0000906163,NVR Inc,2018,2018-12-31,2019-02-13,0000906163-19-000029,000090616319000029,nvr201810-k.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616319000029/nvr201810-k.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616319000029/nvr201810-k.htm,99700,reported_table,exact_table,95750,lot_purchase_agreements,420.9,3.8,4250,29.216,425.393,396.177,401.605,9400.0,193.6,10,1.505,6800,3450,3350,29.4,5.0,500,38.857,,7.3,4.6,7500,4.5,0.150,1.7,TRUE,components_reconcile_to_reported_total,FALSE,,"2018 LPA plus JV-controlled plus land-under-development lots exactly match the 99,700 table total."
NVR,0000906163,NVR Inc,2019,2019-12-31,2020-02-19,0000906163-20-000026,000090616320000026,a201910-k.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616320000026/a201910-k.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616320000026/a201910-k.htm,104900,reported_table,exact_table,101300,lot_purchase_agreements,439.5,5.5,4600,27.572,441.423,413.851,419.457,10000.0,211.5,0,0.0,6300,2950,3350,26.7,4.3,650,69.196,,6.1,2.8,7000,1.9,0.1,0.9,TRUE,components_reconcile_to_reported_total,FALSE,,"2019 filing states there were no specific performance obligations related to finished-lot purchases; raw-land contracts remain excluded from total controlled lots."
NVR,0000906163,NVR Inc,2020,2020-12-31,2021-02-12,0000906163-21-000017,000090616321000017,nvr-20201231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616321000017/nvr-20201231.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616321000017/nvr-20201231.htm,105700,reported_table,exact_table,103000,lpas,438.5,8.1,7700,52.205,439.833,387.628,395.877,10300.0,215.0,0,0.0,5200,2200,3000,23.6,3.1,500,62.790,,5.1,2.6,6100,1.3,0.1,1.0,TRUE,components_reconcile_to_reported_total,FALSE,,"2020 disclosure uses LPA terminology; net impairment charges were COVID-related but this row records the year-end reserve balance."
NVR,0000906163,NVR Inc,2021,2021-12-31,2022-02-16,0000906163-22-000008,000090616322000008,nvr-20211231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616322000008/nvr-20211231.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616322000008/nvr-20211231.htm,124900,reported_table,exact_table,122800,lpas,521.9,10.1,4900,30.041,527.180,497.139,507.284,,299.8,0,0.0,2300,1900,400,20.3,2.5,200,12.147,,2.7,0.8,15500,5.3,0.0,3.4,TRUE,components_reconcile_to_reported_total,FALSE,,"2021 filing no longer gives one aggregate purchase-price figure for all controlled lots; future LPA deposits are disclosed separately."
NVR,0000906163,NVR Inc,2022,2022-12-31,2023-02-15,0000906163-23-000023,000090616323000023,nvr-20221231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616323000023/nvr-20221231.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616323000023/nvr-20221231.htm,131900,reported_table,exact_table,125100,lpas,543.1,6.9,11200,57.060,553.140,496.080,502.976,,348.3,0,0.0,5300,4900,400,27.2,13.0,1900,27.100,,2.1,0.9,19300,10.1,0.0,2.5,TRUE,components_reconcile_to_reported_total,FALSE,,"2022 LPA plus JV-controlled plus land-under-development lots exactly match the 131,900 table total."
NVR,0000906163,NVR Inc,2023,2023-12-31,2024-02-14,0000906163-24-000033,000090616324000033,nvr-20231231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616324000033/nvr-20231231.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616324000033/nvr-20231231.htm,141500,reported_table,exact_table,134900,lpas,617.0,7.7,10700,53.397,629.948,576.551,584.320,,391.3,0,0.0,5200,4850,350,29.2,11.5,1750,36.895,,1.6,0.9,22700,13.0,0.1,3.8,TRUE,components_reconcile_to_reported_total,FALSE,,"2023 values match the benchmark disclosure: 141,500 total controlled lots and 134,900 LPA lots."
NVR,0000906163,NVR Inc,2024,2024-12-31,2025-02-12,0000906163-25-000011,000090616325000011,nvr-20241231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616325000011/nvr-20241231.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616325000011/nvr-20241231.htm,162400,reported_table,exact_table,155000,lpas,764.9,8.7,10700,58.597,785.272,726.675,735.397,,584.5,0,0.0,5150,4800,350,29.3,8.4,2600,65.394,,,,35900,20.4,0.0,8.4,TRUE,components_reconcile_to_reported_total,FALSE,,"2024 row uses the explicit table total of 162,400 and the LPA disclosure of 155,000 lots."
NVR,0000906163,NVR Inc,2025,2025-12-31,2026-02-11,0000906163-26-000018,000090616326000018,nvr-20251231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000090616326000018/nvr-20251231.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616326000018/nvr-20251231.htm,180100,reported_table,exact_table,169250,lpas,920.1,4.6,18200,110.958,962.416,851.458,856.023,,733.9,0,0.0,8900,8550,350,78.1,34.1,2300,39.312,,,,38200,42.3,0.0,9.0,TRUE,components_reconcile_to_reported_total,FALSE,,"2025 filing reports 180,100 total controlled lots and a sharp increase in LPA deposits and raw-land contracts."
