ticker,cik10,sec_company_name,fiscal_year,report_date,filing_date,accession_number,accession_number_no_dashes,primary_document,source_local_path,source_url,total_controlled_lots,total_controlled_lots_source,total_controlled_lots_precision,lpa_lots,lpa_lots_label,lpa_cash_deposits_millions,lpa_letters_of_credit_millions,impairment_reserve_lots,contract_land_deposit_reserve_millions,contract_land_deposits_gross_millions,contract_land_deposits_net_millions,total_risk_of_loss_millions,aggregate_purchase_price_millions,future_lpa_deposit_obligations_millions,specific_performance_lots,specific_performance_obligations_millions,jv_expected_lots,jv_controlled_by_nvr_lots,jv_not_under_contract_lots,jv_investment_millions,jv_funding_commitments_millions,land_under_development_lots,land_under_development_carrying_value_millions,land_under_development_unrelated_contract_lots,land_under_development_funding_commitments_millions,land_under_development_development_credits_millions,raw_land_contract_expected_lots_excluded,raw_land_contract_cash_deposits_millions,raw_land_contract_letters_of_credit_millions,raw_land_contract_refundable_deposits_millions,raw_land_contract_excluded_from_total,component_reconciliation_status,manual_review_flag,manual_review_reason,source_note
NVR,0000906163,NVR Inc,2006,2006-12-31,2007-02-21,0000950133-07-000704,000095013307000704,w30408e10vk.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000095013307000704/w30408e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013307000704/w30408e10vk.htm,88500,reported_prose,rounded,88500,fixed_price_purchase_agreements,484.0,14.0,,59.636,,402.170,632.0,9000.0,134.0,,,,800,,14.0,,,,,,,,,,,NA,pre_2010_overlap_unclear,TRUE,early_filings_do_not_reconcile_lpa_jv_lud_components,"2006 filing reports 88,500 lots controlled with cash and letter-of-credit deposits plus 800 JV lots separately; JV overlap with the headline controlled-lot count is not fully clear."
NVR,0000906163,NVR Inc,2007,2007-12-31,2008-02-22,0000950133-08-000733,000095013308000733,w50131e10vk.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000095013308000733/w50131e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013308000733/w50131e10vk.htm,67600,reported_prose,rounded,67600,purchase_agreements,329.0,9.0,17100,133.664,,188.528,405.0,6900.0,67.0,,,,700,,13.2,,,,,,,,,,,NA,pre_2010_overlap_unclear,TRUE,early_filings_do_not_reconcile_lpa_jv_lud_components,"2007 filing reports 67,600 lots controlled with deposits and records 17,100 lots in the impairment reserve; 700 JV lots are disclosed separately."
NVR,0000906163,NVR Inc,2008,2008-12-31,2009-02-25,0000950133-09-000438,000095013309000438,w72880e10vk.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000095013309000438/w72880e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013309000438/w72880e10vk.htm,45000,reported_prose,rounded,45000,purchase_agreements,178.0,5.0,17000,147.9,,29.073,201.0,4100.0,18.0,,,,370,,8.0,,,,,,,,,,,NA,pre_2010_overlap_unclear,TRUE,early_filings_do_not_reconcile_lpa_jv_lud_components,"2008 primary document was recovered from the SEC directory cache but is still missing from the Make-produced filing index; the filing reports 45,000 controlled lots and 370 LLC-controlled lots separately."
NVR,0000906163,NVR Inc,2009,2009-12-31,2010-02-26,0000950123-10-018033,000095012310018033,w77487e10vk.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000095012310018033/w77487e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095012310018033/w77487e10vk.htm,46300,reported_prose,rounded,46300,purchase_agreements,140.7,4.9,10800,89.5,,49.906,167.1,3900.0,21.5,29,3.5,,760,,25.0,4.0,,,,,,,,,,NA,pre_2010_overlap_unclear,TRUE,early_filings_do_not_reconcile_lpa_jv_lud_components,"2009 filing reports 46,300 controlled lots with deposits and 760 lots controlled through two performing LLCs; later 2010 table restates 2009 total lots controlled as 46,337."
NVR,0000906163,NVR Inc,2010,2010-12-31,2011-02-25,0000950123-11-018386,000095012311018386,w79861e10vk.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000095012311018386/w79861e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/w79861e10vk.htm,52310,reported_table,exact_table,50400,purchase_agreements,174.3,6.6,10300,73.517,174.303,100.786,109.340,4600.0,43.178,43,1.944,1100,1100,,37.2,5.0,890,78.058,,,,,,,,NA,rounded_components_approximate_reported_total,FALSE,,"2010 filing gives first clean lots-controlled table; component prose sums to about 52,390 versus table total 52,310 because the components are rounded."
NVR,0000906163,NVR Inc,2011,2011-12-31,2012-02-22,0001193125-12-072956,000119312512072956,d250145d10k.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000119312512072956/d250145d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312512072956/d250145d10k.htm,52976,reported_table,exact_table,48200,purchase_agreements,202.3,3.2,10556,70.333,202.263,131.930,143.684,4600.0,47.525,92,8.526,6700,4000,2700,89.5,5.0,800,78.045,,,,,,,,NA,components_reconcile_to_reported_total,FALSE,,"2011 table reports 52,976 total lots controlled; JV expected lots less lots not under contract gives 4,000 JV-controlled lots."
NVR,0000906163,NVR Inc,2012,2012-12-31,2013-02-19,0001193125-13-065025,000119312513065025,d446058d10k.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000119312513065025/d446058d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312513065025/d446058d10k.htm,58498,reported_table,exact_table,53200,purchase_agreements,256.6,3.3,10170,65.039,256.577,191.538,201.923,5100.0,48.982,71,7.047,7400,4600,2800,82.9,5.0,700,68.336,,,,,,,,NA,components_reconcile_to_reported_total,FALSE,,"2012 table reports 58,498 total lots controlled; 53,200 LPA lots plus 4,600 JV-controlled lots plus about 700 land-under-development lots reconcile after rounding."
NVR,0000906163,NVR Inc,2013,2013-12-31,2014-02-20,0001193125-14-060606,000119312514060606,d638517d10k.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000119312514060606/d638517d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312514060606/d638517d10k.htm,64620,reported_table,exact_table,58100,purchase_agreements,296.6,2.5,9169,59.761,296.646,236.885,241.051,5800.0,73.292,13,1.707,9300,5900,3400,92.7,11.85,650,41.328,125,,,,,,,NA,components_reconcile_to_reported_total,FALSE,,"2013 filing discloses 125 land-under-development lots under contract to an unrelated party; total controlled-lot reconciliation is approximate because all components are rounded."
NVR,0000906163,NVR Inc,2014,2014-12-31,2015-02-19,0001564590-15-000764,000156459015000764,nvr-10k_20141231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000156459015000764/nvr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459015000764/nvr-10k_20141231.htm,68700,reported_table,exact_table,62800,purchase_agreements,348.4,1.7,7800,56.074,350.750,294.676,300.855,6300.0,75.2,10,1.505,8800,5500,3300,82.0,11.85,480,33.689,94,,,5700,2.3,3.0,2.6,TRUE,components_reconcile_to_reported_total,FALSE,,"2014 starts explicit raw-land-contract disclosure; those 5,700 expected lots are stated as not included in total lots controlled."
NVR,0000906163,NVR Inc,2015,2015-12-31,2016-02-17,0001564590-16-012809,000156459016012809,nvr-10k_20151231.htm,../../fetch_sec_10k_filings/output/raw/sec_10k_filings/0000906163/000156459016012809/nvr-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459016012809/nvr-10k_20151231.htm,74500,reported_table,exact_table,68800,purchase_agreements,373.3,3.0,6100,42.239,385.534,343.295,348.102,6900.0,94.2,10,1.505,8000,4700,3300,60.5,11.5,980,60.611,,19.2,9.6,8800,12.2,0.350,8.7,TRUE,components_reconcile_to_reported_total,FALSE,,"2015 raw-land-contract expected lots are excluded from total controlled lots; February 2016 parcel acquisition is described separately and not coded as a 2015 controlled lot."
